epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1235,1.47332,3.00635,1.51344,0.03636,0.16148,0.01129,0.00773,nan,nan,nan,0.00046,0.00046,0.00046
2,25.4515,1.50361,2.22445,1.58572,7e-05,0.00389,3e-05,1e-05,nan,nan,nan,0.000930694,0.000930694,0.000930694
3,37.6057,1.65056,2.04912,1.69154,0.0012,0.01556,0.00062,0.00021,nan,nan,nan,0.00139188,0.00139188,0.00139188
4,49.3717,1.72806,2.17155,1.74159,0,0,0,0,nan,nan,nan,0.00184357,0.00184357,0.00184357
5,61.4145,1.63192,1.96843,1.63587,0.00294,0.09144,0.00161,0.00072,4.13286,20.8166,5.54849,0.0019208,0.0019208,0.0019208
6,73.7799,1.51087,1.76669,1.55152,0.0238,0.02724,0.00266,0.00094,3.0159,8.2598,2.65168,0.001901,0.001901,0.001901
7,85.9231,1.43222,1.69012,1.51179,0.14533,0.09533,0.06406,0.0334,3.20321,6.45276,3.60016,0.0018812,0.0018812,0.0018812
8,98.5223,1.37912,1.67584,1.49405,0.47498,0.27633,0.26575,0.17308,2.72002,nan,3.08532,0.0018614,0.0018614,0.0018614
9,111.146,1.32445,1.57433,1.42459,0.33039,0.13035,0.10278,0.06062,3.03209,6.36942,3.62994,0.0018416,0.0018416,0.0018416
10,123.132,1.37871,1.62562,1.48449,0.61056,0.30502,0.37676,0.22864,2.21229,6.25009,2.53589,0.0018218,0.0018218,0.0018218
11,135.939,1.32586,1.50921,1.42796,0.49331,0.49222,0.4755,0.31586,1.60088,5.01933,1.99617,0.001802,0.001802,0.001802
12,149.182,1.30014,1.50504,1.4078,0.54928,0.44575,0.45821,0.26024,1.92394,3.87232,2.16042,0.0017822,0.0017822,0.0017822
13,162.13,1.23068,1.42072,1.36063,0.65325,0.54669,0.57837,0.3722,1.7995,2.88647,2.26992,0.0017624,0.0017624,0.0017624
14,174.97,1.26463,1.36482,1.40004,0.56402,0.54475,0.55765,0.36368,1.58082,2.1531,2.00164,0.0017426,0.0017426,0.0017426
15,187.782,1.21171,1.34126,1.37616,0.61809,0.4471,0.51929,0.32145,1.62066,3.0749,1.9882,0.0017228,0.0017228,0.0017228
