epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,516.196,0.90954,0.88978,1.17819,0.82918,0.7272,0.82568,0.59775,1.00894,0.92908,1.40754,0.0011684,0.0011684,0.0011684
44,528.544,0.9508,0.9011,1.20446,0.77094,0.7661,0.81044,0.5972,1.04796,1.01513,1.48474,0.0011486,0.0011486,0.0011486
45,540.436,0.9297,0.83814,1.17908,0.81441,0.74903,0.8242,0.59163,1.06304,1.06619,1.46999,0.0011288,0.0011288,0.0011288
46,552.38,0.95182,0.86316,1.20688,0.85669,0.73541,0.83308,0.58722,1.05414,0.98717,1.47671,0.001109,0.001109,0.001109
47,564.394,0.89854,0.82062,1.16519,0.80194,0.72473,0.81268,0.5861,1.09521,1.02287,1.49123,0.0010892,0.0010892,0.0010892
48,576.469,0.90443,0.79929,1.15801,0.7787,0.76671,0.81627,0.5846,1.03809,1.02535,1.4268,0.0010694,0.0010694,0.0010694
49,588.468,0.92626,0.86604,1.18224,0.75611,0.78405,0.82056,0.59508,1.03882,1.01365,1.41928,0.0010496,0.0010496,0.0010496
50,600.271,0.89768,0.82486,1.15786,0.83812,0.78988,0.85061,0.62639,0.98987,0.91245,1.38218,0.0010298,0.0010298,0.0010298
51,612.486,0.86343,0.80621,1.12833,0.83148,0.79961,0.85894,0.63607,0.97713,0.86484,1.41088,0.00101,0.00101,0.00101
52,624.561,0.88036,0.80579,1.15108,0.85041,0.76317,0.84698,0.63552,0.93674,0.85256,1.37574,0.0009902,0.0009902,0.0009902
53,636.677,0.83393,0.73411,1.12171,0.81586,0.76848,0.83963,0.62286,0.93046,0.85994,1.36081,0.0009704,0.0009704,0.0009704
54,648.69,0.8595,0.76376,1.14094,0.87138,0.72957,0.83095,0.61186,1.04017,0.86939,1.45805,0.0009506,0.0009506,0.0009506
55,660.599,0.8898,0.77148,1.14403,0.84748,0.77043,0.84946,0.61748,0.96717,0.81405,1.37179,0.0009308,0.0009308,0.0009308
56,672.532,0.87982,0.81153,1.15657,0.82197,0.7393,0.83197,0.60939,0.99618,0.90752,1.42161,0.000911,0.000911,0.000911
57,684.719,0.826,0.74234,1.12311,0.8235,0.8035,0.85383,0.63009,0.93097,0.86698,1.35317,0.0008912,0.0008912,0.0008912
58,696.866,0.82832,0.73327,1.13535,0.80974,0.78988,0.83566,0.63312,0.93514,0.81024,1.37701,0.0008714,0.0008714,0.0008714
59,709.119,0.80107,0.7114,1.10338,0.8286,0.79183,0.86373,0.65215,0.92267,0.83563,1.34946,0.0008516,0.0008516,0.0008516
60,721.484,0.8306,0.79505,1.14416,0.8769,0.76222,0.85618,0.64535,0.91812,0.84888,1.3454,0.0008318,0.0008318,0.0008318
61,733.479,0.84162,0.77621,1.14316,0.8776,0.75292,0.85685,0.63714,0.91012,0.85895,1.34433,0.000812,0.000812,0.000812
62,745.527,0.85953,0.76366,1.1371,0.83886,0.72923,0.82262,0.60429,0.94606,0.90863,1.35099,0.0007922,0.0007922,0.0007922
63,757.603,0.79503,0.72089,1.10378,0.85694,0.77626,0.84221,0.62563,0.9031,0.83522,1.30657,0.0007724,0.0007724,0.0007724
64,769.747,0.82681,0.76012,1.11678,0.84715,0.77634,0.84957,0.63264,0.91496,0.82464,1.33658,0.0007526,0.0007526,0.0007526
